Title,Status,Authors with affiliation and country
Two Issues in Modelling Fish Migration,accepted,"Hidekazu Yoshioka (Japan Advanced Institute of Science and Technology, Japan)"
Optimizing DDoS Attack Detection in IoT Networks Using a Sparse Autoencoder: Work in Progress,accepted,"Abdul Rahim (Universitas Dinamika Bangsa, Indonesia); Deris Stiawan (University of Sriwijaya, Indonesia); Hadipurnawan Satria (Universitas of Sriwijaya, Indonesia); Kurniabudi Kurniabudi (Universitas Dinamika Bangsa, Indonesia); Didi Rosiyadi (National Research and Innovation Agency, Republic of Indonesia, Indonesia); Rahmat Budiarto (Al Baha University, Saudi Arabia)"
Analyzing Factors Influencing Students' Intention to Use AI Chatbots for Learning,accepted,"Edward Gabriel Nathanael and Shalomita Sharon Prasetyo (Bina Nusantara University, Indonesia); Adele B L Mailangkay (Bina Nusantara University, Indonesia & Binus University, Indonesia)"
Real-Time Visual Detection of Water Leaks in Irrigation Networks Using Deep Learning: A Smart Solution for Precision Agriculture,accepted,"Khaldi K Ouadjih (Universite du Quebec en Abitibi-Temiscamingue, Canada); Fouad Slaoui-Hasnaoui (Université du Québec en Abitibi-Témiscamingue, Canada); Semaan Georges (Notre Dame University-Louaize, Lebanon)"
A Parallel Convolutional Neural Network Approach for Classifying Malang Batik Motifs with Image Augmentation Techniques,accepted,"Mamluatul Hani'ah, Rendy Septian Pradana, Muhammad Afif Hendrawan and Vivi Nur Wijayaningrum (Politeknik Negeri Malang, Indonesia); Vit Zuraida, Moch Zawaruddin Abdullah and Mungki Astiningrum (State Polytechnic of Malang, Indonesia)"
Comparative Study of Public Key Cryptosystem: Somsuk RSA Vs Modified RSA,accepted,"Dian Rachmawati, Maya SIlvi Lydia, Mohammad Andri Budiman and Romi Fadillah Rahmat (Universitas Sumatera Utara, Indonesia)"
Weather Prediction and Classification for Citrus Farming Using Support Vector Regression (SVR) and Classification and Regression Tree (CART),accepted,"Angelina Balqis Khansa and Vivi Nur Wijayaningrum (Politeknik Negeri Malang, Indonesia); Moch Zawaruddin Abdullah (State Polytechnic of Malang, Indonesia)"
A Comparative Study of Gated Recurrent Unit (GRU) and Bidirectional GRU (Bi-GRU) in Consumer Price Index Forecasting,accepted,"Elisabeth Cheryl Sasongko and Prilyandari Dina Saputri (Institut Teknologi Sepuluh Nopember, Indonesia)"
Site-Specific Pathloss Modeling Using Quadratic and Cubic Polynomial Regression for LoRa-Based WSNs in Tropical Oil Palm Estates,accepted,"Syahfrizal Rizal Rizal Tahcfulloh (Universitas Borneo Tarakan, Indonesia & PUI PUSAKA, Indonesia); Dwi Santoso Mr (Universitas Borneo Tarakan & Research Center for Natural Resources and Tropical Waters in Border Areas (SEATROPS), Indonesia); Etty Wahyuni (University of Borneo Tarakan, Indonesia); Michael Yehezkiel Rattu (Borneo University of Tarakan, Indonesia & Universitas Borneo Tarakan, Indonesia)"
A Multi-Horizon Machine Learning Model for Sepsis Mortality Prediction in the ICU Based on Early Vital Sign Trends,accepted,"Irawan Irawan (University Sriwijaya, Indonesia & Dinamika Bangsa University, Indonesia); Rossi Passarella (Sriwijaya University, Indonesia); Jasmir Jasmir (STIKOM Dinamika Bangsa Jambi, Indonesia); Marrylinteri Istoningtyas (Dinamika Bangsa University, Indonesia)"
"Information Quality, Source Trustworthiness, and the UTAUT Model: Understanding ChatGPT Usage Intentions Among Manila-Based University Student",accepted,"Lianna Wijaya (Binus University, Indonesia); Sudip Wagle (Tribhuvan University, Nepal); Lourdes Lasian (Adamson University, Philippines); Teguh Sriwidadi (Bina Nusantara University & BINUS Online Learning, Indonesia); Hardiyansyah Hardiyansyah (Binus University, Indonesia); Yuliana Saridewi Kusumastuti (Bina Nusantara University, Indonesia)"
Integrating Multi-Scenario Preprocessing and Data Augmentation with BiLSTM for Robust Agricultural Weather Forecasting,accepted,"Vivi Nur Wijayaningrum, Vipkas Al Hadid Firdaus and Mamluatul Hani'ah (Politeknik Negeri Malang, Indonesia); Noprianto Noprianto (Okayama University, Japan); Agung Nugroho Pramudhita and Rokhimatul Wakhidah (Politeknik Negeri Malang, Indonesia)"
Extreme Learning Machine (ELM) Performance in Behavior-Based of Self-Esteem Level Prediction,accepted,"Mochammad Anshori, Wahyu Teja Kusuma and Risqy Siwi Pradini (ITSK Soepraoen, Indonesia)"
MRI-Based Prostate Zonal Segmentation Using U-Net with Deep Backbone Models,accepted,"Evan Loano (University Multimedia Nusantara, Indonesia); Irmawati Irmawati (Universitas Multimedia Nusantara, Indonesia)"
